timestamp,value
5/14/2014 1:14,85.835
5/14/2014 1:19,88.167
5/14/2014 1:24,44.595
5/14/2014 1:29,56.282
5/14/2014 1:34,36.534
5/14/2014 1:39,36.894
5/14/2014 1:44,36.807
5/14/2014 1:49,36.763
5/14/2014 1:54,36.167
5/14/2014 1:59,38.992
5/14/2014 2:04,49.724
5/14/2014 2:09,39.939
5/14/2014 2:14,37.058
5/14/2014 2:19,36.119
5/14/2014 2:24,36.339
5/14/2014 2:29,37.39
5/14/2014 2:34,36.156
5/14/2014 2:39,36.59
5/14/2014 2:44,36.624
5/14/2014 2:49,35.89
5/14/2014 2:54,36.398
5/14/2014 2:59,40.294
5/14/2014 3:04,49.725
5/14/2014 3:09,37.274
5/14/2014 3:14,46.506
5/14/2014 3:19,38.674
5/14/2014 3:24,36.715
5/14/2014 3:29,50.673
5/14/2014 3:34,38.114
5/14/2014 3:39,36.561
5/14/2014 3:44,40.321
5/14/2014 3:49,37.425
5/14/2014 3:54,34.767
5/14/2014 3:59,37.408
5/14/2014 4:04,71.106
5/14/2014 4:09,33.43
5/14/2014 4:14,33.502
5/14/2014 4:19,31.879
5/14/2014 4:24,31.615
5/14/2014 4:29,33.388
5/14/2014 4:34,32.013
5/14/2014 4:39,32.003
5/14/2014 4:44,32.01
5/14/2014 4:49,31.171
5/14/2014 4:54,30.835
5/14/2014 4:59,34.006
5/14/2014 5:04,45.126
5/14/2014 5:09,32.162
5/14/2014 5:14,32.514
5/14/2014 5:19,31.007
5/14/2014 5:24,31.099
5/14/2014 5:29,32.67
5/14/2014 5:34,30.672
5/14/2014 5:39,31.33
5/14/2014 5:44,32.277
5/14/2014 5:49,30.799
5/14/2014 5:54,31.156
5/14/2014 5:59,34.148
5/14/2014 6:04,44.669
5/14/2014 6:09,32.176
5/14/2014 6:14,33.629
5/14/2014 6:19,31.171
5/14/2014 6:24,31.556
5/14/2014 6:29,31.965
5/14/2014 6:34,31.221
5/14/2014 6:39,31.012
5/14/2014 6:44,32.176
5/14/2014 6:49,31.337
5/14/2014 6:54,31.116
5/14/2014 6:59,34.392
5/14/2014 7:04,44.619
5/14/2014 7:09,32.618
5/14/2014 7:14,32.212
5/14/2014 7:19,30.588
5/14/2014 7:24,31.055
5/14/2014 7:29,32.333
5/14/2014 7:34,31.584
5/14/2014 7:39,30.873
5/14/2014 7:44,31.661
5/14/2014 7:49,31.126
5/14/2014 7:54,32.107
5/14/2014 7:59,34.29
5/14/2014 8:04,45.279
5/14/2014 8:09,33.342
5/14/2014 8:14,32.206
5/14/2014 8:19,31.281
5/14/2014 8:24,31.877
5/14/2014 8:29,32.158
5/14/2014 8:34,29.992
5/14/2014 8:39,30.844
5/14/2014 8:44,32.819
5/14/2014 8:49,31.29
5/14/2014 8:54,31.83
5/14/2014 8:59,33.349
